127.0.0.1 - - [02/Mar/2018:09:59:54 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/balance HTTP/1.1" 200 23717
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/Highcharts-4.2.6/js/highcharts.js HTTP/1.1" 200 172528
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/Highcharts-4.2.6/js/highcharts-3d.js HTTP/1.1" 200 21458
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:19 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/back/year_query HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:49 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "POST /lsq-spring-boot-mybatis-1.1/back/year_query/query HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:00:58 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/back/year_query/query?pageNum=2&size=10&year=2018&consumptionType= HTTP/1.1" 200 13108
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:12 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/back/year_query/query?pageNum=3&size=10&year=2018&consumptionType= HTTP/1.1" 200 13304
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:13 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/back/year_query/query?pageNum=4&size=10&year=2018&consumptionType= HTTP/1.1" 200 13458
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/datepicker3.css HTTP/1.1" 200 33772
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/css/styles.css HTTP/1.1" 200 16275
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap.min.js HTTP/1.1" 200 31819
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart.min.js HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/css/bootstrap.min.css HTTP/1.1" 200 130404
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/chart-data.js HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart-data.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/easypiechart.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/plug/bootstrap-datetimepicker-master/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 12231
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/js/bootstrap-datepicker.js HTTP/1.1" 200 46822
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:15 +0800] "GET /lsq-spring-boot-mybatis-1.1/style/backstage/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [02/Mar/2018:10:01:16 +0800] "GET /lsq-spring-boot-mybatis-1.1/back/year_query/query?pageNum=5&size=10&year=2018&consumptionType= HTTP/1.1" 200 13678
